Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Alfred Chicken,05.05.2026,0h15m,JA,4,3,6,3,4,"4,72","4,00","4,13",https://www.youtube.com/live/CLF2jeSEzwQ?si=bPzHnOOYkd6XnsQW&t=16011,Jump & Run
NES,Swords and Serpents,05.05.2026,0h15m,JA,6,4,4,7,3,"4,38","4,00","4,07",https://www.youtube.com/live/CLF2jeSEzwQ?si=2dztglyk1Xc7DMJV&t=17414,RPG
NES,Robocop 2,05.05.2026,0h12m,JA,3,6,1,5,2,"2,69","3,00","2,94",https://www.youtube.com/live/CLF2jeSEzwQ?si=jIwjqATrATd6Usjf&t=18705,Action
NES,Captain America and the Avengers,05.05.2026,0h15m,JA,4,4,6,6,7,"5,95","5,56","5,63",https://www.youtube.com/live/CLF2jeSEzwQ?si=zY469ol57BuQvmiG&t=19948,Prügelspiel
NES,Dr. Mario,12.05.2026,0h15m,NEIN,6,5,5,5,10,"7,46","7,44","7,45",https://www.youtube.com/live/QvttihB6lLU?si=pPa3ZQw4c4Ks_sZJ&t=21220,Puzzle
NES,Tiny Toon Adventures,15.05.2026,0h14m,JA,8,8,9,7,6,"7,38","7,22","7,25",https://www.youtube.com/live/0BexWdJ3qns?si=DuhaocaIeeD4mast&t=16769,Jump & Run
NES,Pinball,15.05.2026,0h06m,JA,1,2,5,5,2,"2,82","2,11","2,24",https://www.youtube.com/live/0BexWdJ3qns?si=E7CxGa6xfhlVKYj2&t=17965,Sonstiges
NES,Probotector,15.05.2026,0h47m,NEIN,7,8,10,8,9,"8,32","8,44","8,42",https://www.youtube.com/live/0BexWdJ3qns?si=bKqa1hqexveMwIQm&t=18470,Action
NES,Yoshi’s Cookie,04.06.2026,0h13m,Nein,4,3,6,3,6,"4,12","4,89","4,75",https://www.youtube.com/live/hDTyBG6CUks?si=ahOj1TfZNF-dxM5p&t=16879,Puzzle
NES,Mega Man,04.06.2026,0h37m,NEIN,9,8,10,7,9,"7,97","8,89","8,72",https://www.youtube.com/live/hDTyBG6CUks?si=Rw2Ts3uZQgyZUaLq&t=18334,Action
NES,Mega Man 2,05.06.2026,1h00m,NEIN,10,8,9,3,10,"8,57","9,44","9,29",https://www.youtube.com/live/28X8rLGc7VM?si=j6E8Ti_h_nXREknL&t=9210,Action
NES,Jimmy Connors Tennis,05.06.2026,0h10m,JA,4,6,3,5,5,"5,05","4,78","4,83",https://www.youtube.com/live/28X8rLGc7VM?si=AwLKX9EsmZFFE-9M&t=13251,Sport
NES,Eliminator Boat Duel,05.06.2026,0h12m,JA,7,8,7,7,7,"6,86","7,22","7,16",https://www.youtube.com/live/28X8rLGc7VM?si=tFv2kv5voruJ4U_r&t=14092,Action
NES,Tiger-Heli,07.06.2026,0h22m,JA,6,4,7,4,7,"4,78","6,11","5,87",https://www.youtube.com/live/9k9HHcW3bos?si=EwA6Z_WjDuYAYHp6&t=22108,Shooter
NES,Mike Tyson’s Punch Out!!,09.06.2026,0h34m,NEIN,8,7,10,7,10,"7,08","8,89","8,56",https://www.youtube.com/live/MUn0_pLqM5k?si=PgEP_vSHXtVzDtom&t=15913,Sport
NES,Super Mario Bros.,09.06.2026,1h34m,NEIN,9,7,9,3,9,"7,87","8,56","8,43",https://www.youtube.com/live/MUn0_pLqM5k?si=WPa0U_9aYDca26Dt&t=12886,Jump & Run
NES,The New Zealand Story,09.06.2026,0h18m,JA,5,3,7,7,4,"4,47","4,33","4,36",https://www.youtube.com/live/MUn0_pLqM5k?si=pMC0KwyThtQc13On&t=19112,Jump & Run
NES,Godzilla,12.06.2026,0h26m,JA,5,7,8,3,6,"5,89","6,22","6,16",https://www.youtube.com/live/b503hl1BAqU?si=3UgrQus8oEF5bwDp&t=11642,Action
NES,Batman-Return of The Joker,12.06.2026,0h12m,JA,8,10,6,8,1,"7,84","5,11","5,61",https://www.youtube.com/live/b503hl1BAqU?si=NtKukmi4JP0loL70&t=13613,Action
NES,Mega Man 3,14.06.2026,1h13m,NEIN,8,8,10,3,9,"7,78","8,67","8,51",https://youtu.be/xfyt-7qCdc0?si=TWVTrdQUm_Kyn4OG&t=15996,Action
NES,Gauntlet II,14.06.2026,0h19m,JA,2,4,5,4,6,"6,06","4,56","4,83",https://youtu.be/xfyt-7qCdc0?si=kwYYxiRKoGFl5xFK&t=21457,Action
NES,Life Force Salamander,14.06.2026,0h29m,NEIN,7,8,7,6,8,"7,31","7,67","7,60",https://youtu.be/xfyt-7qCdc0?si=xS2HE433tpbc3zqw&t=22856,Shooter
NES,"Tiny Toon Adventures 2 
Trouble in Wackyland",15.06.2026,0h51m,JA,8,8,8,5,6,"5,83","7,11","6,88",https://www.youtube.com/live/RWTYcLMgop8?si=HD5d0iu7tqsOxoNu&t=20728,Jump & Run
NES,Kid Icarus,19.06.2026,1h55m,NEIN,8,8,6,6,8,"7,55","7,78","7,74",https://www.youtube.com/live/lIpPRjKzly4?si=NgVuxEn_z66j-2Vl&t=2646,Action
NES,"The Simpsons 
Bart vs. the Spacemutants",24.06.2026,1h10m,NEIN,5,5,1,8,5,"5,37","4,56","4,70",https://www.youtube.com/live/oiLkyaASJwQ?si=r-3sJG5MNe_5zmqC&t=16018,Jump & Run
NES,The Trolls in Crazyland,28.06.2026,0h15m,JA,5,4,5,7,3,"3,58","3,89","3,83",https://www.youtube.com/live/pBWa2-aZruw?si=pScAgjfux-2DnvsN&t=22441,Action
NES,Over Horizon,28.06.2026,1h06m,JA,7,8,10,7,9,"7,68","8,44","8,31",https://www.youtube.com/live/pBWa2-aZruw?si=4k3Ep2vcfs53drr8&t=23587,Shooter
NES,Blue Shadow ,29.06.2026,0h43m,JA,8,7,6,6,8,"7,27","7,56","7,50",https://www.youtube.com/live/HMzqK9FSK10?si=cPDPmTTrpDm0rTav&t=16420,Action
NES,The Terminator,29.06.2026,0h09m,JA,1,5,5,5,3,"2,26","3,22","3,05",https://www.youtube.com/live/HMzqK9FSK10?si=WwRrIt4uirlslNhb&t=19336,Action
NES,Star Force,29.06.2026,0h11m,JA,3,3,7,5,4,"4,35","3,89","3,97",https://www.youtube.com/live/HMzqK9FSK10?si=r0neIZBA6OtO4UKd&t=20099,Shooter
NES,Rodland,06.07.2026,0h38m,JA,6,5,8,3,9,"7,16","7,33","7,30",https://www.youtube.com/live/00ZfsxVU0xY?si=nWY4HwIv2PXhIrXi&t=16465,Jump & Run
